Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,D1_5,*,ALL,*,QUAL,*,0.920206,0.967464,0.300282,0.943244,21,93,38708702,33542521.000000,0.000000,3885,.,.,2184.000000,1523.000000,,1.43401181878,3575,.,.,1959.000000,1475.000000,,1.32813559322,310,.,.,225.000000,48.000000,,4.6875,5315,.,.,3312.000000,2003.000000,,1.65351972042,3598,.,.,2134.000000,1464.000000,,1.45765027322,121,.,.,74.000000,47.000000,,1.57446808511,1596,.,.,1104.000000,492.000000,,2.24390243902
INDEL,D1_5,*,PASS,*,QUAL,*,0.894981,0.972444,0.189955,0.932106,15,81,38708702,33542521.000000,0.000000,3885,.,.,2184.000000,1523.000000,,1.43401181878,3477,.,.,1893.000000,1455.000000,,1.30103092784,408,.,.,291.000000,68.000000,,4.27941176471,4480,.,.,2611.000000,1869.000000,,1.39700374532,3529,.,.,2082.000000,1447.000000,,1.43883897719,100,.,.,62.000000,38.000000,,1.63157894737,851,.,.,467.000000,384.000000,,1.21614583333
INDEL,D1_5,TS_boundary,ALL,*,QUAL,*,0.621302,0.763838,0.624654,0.685236,9,55,3010702790.000000,33542521.000000,0.000000,338,.,.,194.000000,119.000000,,1.63025210084,210,.,.,114.000000,96.000000,,1.1875,128,.,.,80.000000,23.000000,,3.47826086957,722,.,.,446.000000,276.000000,,1.61594202899,207,.,.,111.000000,96.000000,,1.15625,64,.,.,41.000000,23.000000,,1.78260869565,451,.,.,294.000000,157.000000,,1.87261146497
INDEL,D1_5,TS_boundary,PASS,*,QUAL,*,0.535503,0.773504,0.541176,0.632867,6,47,3010702790.000000,33542521.000000,0.000000,338,.,.,194.000000,119.000000,,1.63025210084,181,.,.,93.000000,88.000000,,1.05681818182,157,.,.,101.000000,31.000000,,3.25806451613,510,.,.,275.000000,235.000000,,1.17021276596,181,.,.,93.000000,88.000000,,1.05681818182,53,.,.,35.000000,18.000000,,1.94444444444,276,.,.,147.000000,129.000000,,1.13953488372
INDEL,D1_5,TS_contained,ALL,*,QUAL,*,0.948689,0.983469,0.0,0.965766,12,38,33542521.000000,33542521.000000,0.000000,3547,.,.,1990.000000,1404.000000,,1.41737891738,3365,.,.,1845.000000,1379.000000,,1.33792603336,182,.,.,145.000000,25.000000,,5.8,3448,.,.,2056.000000,1392.000000,,1.47701149425,3391,.,.,2023.000000,1368.000000,,1.47880116959,57,.,.,33.000000,24.000000,,1.375,0,.,.,0.000000,0.000000,,
INDEL,D1_5,TS_contained,PASS,*,QUAL,*,0.929236,0.986156,0.0,0.95685,9,34,33542521.000000,33542521.000000,0.000000,3547,.,.,1990.000000,1404.000000,,1.41737891738,3296,.,.,1800.000000,1367.000000,,1.3167520117,251,.,.,190.000000,37.000000,,5.13513513514,3395,.,.,2016.000000,1379.000000,,1.46192893401,3348,.,.,1989.000000,1359.000000,,1.46357615894,47,.,.,27.000000,20.000000,,1.35,0,.,.,0.000000,0.000000,,
INDEL,D6_15,*,ALL,*,QUAL,*,0.773836,0.852804,0.393768,0.811403,2,58,38708702,33542521.000000,0.000000,451,.,.,279.000000,100.000000,,2.79,349,.,.,204.000000,93.000000,,2.1935483871,102,.,.,75.000000,7.000000,,10.7142857143,706,.,.,524.000000,182.000000,,2.87912087912,365,.,.,272.000000,93.000000,,2.9247311828,63,.,.,50.000000,13.000000,,3.84615384615,278,.,.,202.000000,76.000000,,2.65789473684
INDEL,D6_15,*,PASS,*,QUAL,*,0.691796,0.865285,0.320423,0.768875,2,47,38708702,33542521.000000,0.000000,451,.,.,279.000000,100.000000,,2.79,312,.,.,173.000000,88.000000,,1.96590909091,139,.,.,106.000000,12.000000,,8.83333333333,568,.,.,410.000000,158.000000,,2.59493670886,334,.,.,246.000000,88.000000,,2.79545454545,52,.,.,42.000000,10.000000,,4.2,182,.,.,122.000000,60.000000,,2.03333333333
INDEL,D6_15,TS_boundary,ALL,*,QUAL,*,0.366197,0.40625,0.602484,0.385185,0,35,3010702790.000000,33542521.000000,0.000000,71,.,.,50.000000,8.000000,,6.25,26,.,.,21.000000,5.000000,,4.2,45,.,.,29.000000,3.000000,,9.66666666667,161,.,.,119.000000,42.000000,,2.83333333333,26,.,.,21.000000,5.000000,,4.2,38,.,.,31.000000,7.000000,,4.42857142857,97,.,.,67.000000,30.000000,,2.23333333333
INDEL,D6_15,TS_boundary,PASS,*,QUAL,*,0.323944,0.425926,0.574803,0.368,0,28,3010702790.000000,33542521.000000,0.000000,71,.,.,50.000000,8.000000,,6.25,23,.,.,18.000000,5.000000,,3.6,48,.,.,32.000000,3.000000,,10.6666666667,127,.,.,91.000000,36.000000,,2.52777777778,23,.,.,18.000000,5.000000,,3.6,31,.,.,26.000000,5.000000,,5.2,73,.,.,47.000000,26.000000,,1.80769230769
