i,subset,qa,qs,qn,x,n,n.obs,prior.mean,obs.min,obs.max,posterior.mean,posterior.hdi.low,posterior.hdi.high,obs.range,hdi.range
775,S796,0.4333,0.3681,0.1986,0.0614,8814,5,0.45727252098933513,0.4556387565237123,0.45870206489675514,0.45734681679741945,0.4510562229988643,0.46377673834394784,0.003063308373042861,0.01272051534508356
776,S797,0.2513,0.3459,0.4028,0.0872,2974,5,0.28957632817753864,0.28614660390047075,0.2948890383322125,0.28965885825847354,0.2806456738446105,0.2977509683906312,0.008742434431741775,0.017105294546020722
777,S798,0.1054,0.1771,0.7175,0.1773,8254,5,0.1360310152653259,0.13266295129634118,0.13932638720620305,0.13603729683178867,0.13256410537369512,0.139405813367256,0.006663435909861876,0.006841707993560875
778,S799,0.0804,0.4577,0.4619,0.8735,7513,5,0.4708372154931452,0.4637295354718488,0.4773060029282577,0.4707045055553963,0.46376168261132467,0.4778089807873146,0.013576467456408892,0.01404729817598993
779,S8,0.0669,0.4767,0.4564,0.7736,1288,5,0.43059006211180123,0.42080745341614906,0.4394409937888199,0.4308823205602384,0.4140786950579194,0.4456656582442904,0.018633540372670843,0.031586963186371
780,S80,0.4713,0.3004,0.2283,0.6993,7733,5,0.6784430363377731,0.6748997801629381,0.6818828397775766,0.6785370470128966,0.6700658874380613,0.687264163406637,0.00698305961463852,0.017198275968575705
781,S800,0.3636,0.2812,0.3552,0.415,5669,5,0.4804021873346269,0.47803845475392487,0.48191920973716706,0.4804735876010386,0.4721761674007513,0.4888792453273437,0.003880754983242196,0.016703077926592425
782,S801,0.2601,0.1522,0.5878,0.539,9171,5,0.34345218623923235,0.3411841674844619,0.3475084505506488,0.3434435550846327,0.33786597328969104,0.3489107054776861,0.006324283066186875,0.011044732187995066
783,S802,0.2992,0.2747,0.4261,0.0934,1207,5,0.3202982601491301,0.31648715824357915,0.3231151615575808,0.320378584729054,0.3062237180177043,0.3352130519706886,0.0066280033140016514,0.02898933395298431
784,S803,0.3702,0.1672,0.4626,0.9286,3466,5,0.5198499711482978,0.518465089440277,0.5213502596653202,0.5198716848849012,0.5092890618776161,0.5304350274008414,0.0028851702250431988,0.02114596552322523
